date,product,region,units,revenue
2024-01-05,ProductA,Nairobi,1,292930
2024-02-01,ProductA,Nairobi,58,93530
2024-03-04,ProductA,Nairobi,62,162600
2024-02-16,ProductA,Nairobi,15,215010
2024-03-12,ProductA,Nairobi,1,320
2024-02-06,ProductA,Nairobi,47,142060
2024-02-04,ProductA,Nairobi,15,182700
2024-02-06,ProductA,Nairobi,56,253070
2024-02-06,ProductA,Nairobi,32,297980
2024-01-28,ProductA,Nairobi,84,3090
2024-03-27,ProductA,Nairobi,69,281200
2024-02-21,ProductA,Nairobi,53,131960
2024-03-19,ProductA,Nairobi,28,311970
2024-03-25,ProductA,Nairobi,35,160540
2024-01-11,ProductA,Nairobi,56,209420
2024-03-26,ProductA,Nairobi,81,192240
2024-01-27,ProductA,Nairobi,54,15400
2024-03-15,ProductA,Nairobi,49,38750
2024-03-23,ProductA,Nairobi,95,113300
2024-02-09,ProductA,Nairobi,26,297750
2024-02-03,ProductA,Nairobi,4,265380
2024-01-08,ProductA,Nairobi,24,100690
2024-03-14,ProductA,Nairobi,11,325120
2024-02-22,ProductA,Nairobi,68,38600
2024-01-19,ProductA,Nairobi,1,24720
2024-02-27,ProductA,Nairobi,47,152410
2024-02-04,ProductA,Nairobi,71,192360
2024-02-18,ProductA,Nairobi,43,51540
2024-01-04,ProductA,Nairobi,93,105100
2024-02-14,ProductA,Nairobi,80,20350
2024-01-08,ProductA,Nairobi,79,266560
2024-03-28,ProductA,Nairobi,17,120510
2024-03-15,ProductA,Nairobi,23,155260
2024-03-12,ProductA,Nairobi,68,33010
2024-02-16,ProductA,Nairobi,37,153330
2024-03-21,ProductA,Nairobi,88,6810
2024-01-10,ProductA,Nairobi,91,46730
2024-02-20,ProductA,Nairobi,8,155250
2024-02-04,ProductA,Nairobi,13,156070
2024-03-23,ProductA,Nairobi,59,196680
2024-02-07,ProductA,Nairobi,26,207130
2024-01-07,ProductA,Nairobi,14,239630
2024-03-09,ProductA,Nairobi,29,23630
2024-03-26,ProductA,Nairobi,44,47200
2024-01-12,ProductA,Nairobi,93,90560
2024-01-03,ProductA,Nairobi,81,310660
2024-02-24,ProductA,Nairobi,5,210560
2024-02-05,ProductA,Nairobi,56,187020
2024-02-23,ProductA,Nairobi,47,157280
2024-01-02,ProductA,Nairobi,24,30390
2024-02-14,ProductA,Nairobi,2,314740
2024-02-19,ProductA,Nairobi,26,213640
2024-02-24,ProductA,Nairobi,20,31520
2024-02-03,ProductA,Nairobi,50,207430
2024-02-13,ProductA,Nairobi,31,318500
2024-03-20,ProductA,Nairobi,84,95950
2024-01-16,ProductA,Nairobi,24,54100
2024-03-21,ProductA,Nairobi,49,12340
2024-01-20,ProductA,Nairobi,8,206350
2024-02-07,ProductA,Nairobi,31,122110
2024-02-24,ProductA,Nairobi,63,123390
2024-03-15,ProductA,Nairobi,14,198100
2024-02-22,ProductA,Nairobi,93,235540
2024-02-18,ProductA,Nairobi,82,209340
2024-01-03,ProductA,Nairobi,44,178980
2024-02-11,ProductA,Nairobi,32,53510
2024-02-06,ProductA,Nairobi,86,54070
2024-03-14,ProductA,Nairobi,18,58570
2024-03-18,ProductA,Nairobi,97,56820
2024-03-04,ProductA,Nairobi,92,164290
2024-03-26,ProductA,Nairobi,16,214210
2024-03-11,ProductA,Nairobi,87,111000
2024-03-01,ProductA,Nairobi,98,257220
2024-01-19,ProductA,Nairobi,73,210670
2024-03-16,ProductA,Nairobi,74,241070
2024-02-13,ProductA,Nairobi,64,33040
2024-01-22,ProductA,Nairobi,86,285650
2024-01-04,ProductA,Nairobi,27,289940
2024-03-12,ProductA,Nairobi,47,288550
2024-03-20,ProductA,Nairobi,87,275770
2024-01-02,ProductA,Nairobi,31,28210
2024-01-21,ProductA,Nairobi,88,204470
2024-01-12,ProductA,Nairobi,86,43310
2024-03-24,ProductA,Nairobi,35,76890
2024-02-19,ProductA,Nairobi,87,255130
2024-01-07,ProductA,Nairobi,39,316610
2024-02-12,ProductA,Nairobi,49,294300
2024-01-13,ProductA,Nairobi,39,314850
2024-01-19,ProductA,Nairobi,38,243660
2024-02-03,ProductA,Nairobi,45,84290
2024-03-05,ProductA,Nairobi,60,64050
2024-03-12,ProductA,Nairobi,94,244230
2024-02-26,ProductA,Nairobi,69,225820
2024-03-09,ProductA,Nairobi,76,29160
2024-01-22,ProductA,Nairobi,46,138450
2024-02-18,ProductA,Nairobi,62,242110
2024-01-17,ProductA,Nairobi,9,11210
2024-01-24,ProductA,Nairobi,50,170120
2024-02-23,ProductA,Nairobi,17,189660
2024-03-13,ProductA,Nairobi,21,141870
2024-03-15,ProductA,Nairobi,2,228530
2024-03-27,ProductA,Nairobi,69,139220
2024-03-09,ProductA,Nairobi,68,277920
2024-03-03,ProductA,Nairobi,36,194490
2024-01-10,ProductA,Nairobi,70,284220
2024-01-22,ProductA,Nairobi,66,162830
2024-02-13,ProductA,Nairobi,81,296010
2024-03-28,ProductA,Nairobi,21,303850
2024-02-16,ProductA,Nairobi,70,92880
2024-03-05,ProductA,Nairobi,11,169000
2024-02-12,ProductA,Nairobi,24,224490
2024-01-25,ProductA,Nairobi,30,146680
2024-02-22,ProductA,Nairobi,22,308020
2024-01-02,ProductA,Nairobi,18,139490
2024-02-28,ProductA,Nairobi,83,15970
2024-02-21,ProductA,Nairobi,82,52600
2024-01-02,ProductA,Nairobi,48,117920
2024-03-08,ProductA,Nairobi,92,64410
2024-01-09,ProductA,Nairobi,90,162080
2024-02-18,ProductA,Nairobi,76,69110
2024-03-04,ProductA,Nairobi,45,292400
2024-02-28,ProductA,Nairobi,21,249570
2024-02-09,ProductA,Nairobi,54,4290
2024-02-09,ProductA,Nairobi,89,142990
2024-02-23,ProductA,Nairobi,91,130740
2024-03-08,ProductA,Nairobi,15,156640
2024-03-15,ProductA,Nairobi,72,33370
2024-03-21,ProductA,Nairobi,48,230770
2024-01-18,ProductA,Nairobi,49,42950
2024-01-11,ProductA,Nairobi,52,49840
2024-03-23,ProductA,Nairobi,13,286470
2024-02-16,ProductA,Nairobi,79,287240
2024-01-03,ProductA,Nairobi,31,238020
2024-01-15,ProductA,Nairobi,98,226140
2024-02-07,ProductA,Nairobi,51,323070
2024-01-16,ProductA,Nairobi,16,86580
2024-01-18,ProductA,Nairobi,54,203130
2024-01-03,ProductA,Nairobi,97,250070
2024-03-24,ProductA,Nairobi,86,157480
2024-02-14,ProductA,Nairobi,4,76190
2024-01-16,ProductA,Nairobi,21,273180
2024-03-05,ProductA,Nairobi,64,279300
2024-01-16,ProductA,Nairobi,70,141690
2024-03-15,ProductA,Nairobi,28,324020
2024-02-19,ProductA,Nairobi,48,5480
2024-03-18,ProductA,Nairobi,55,121610
2024-02-10,ProductA,Nairobi,9,194660
2024-02-15,ProductA,Nairobi,85,137710
2024-03-08,ProductA,Nairobi,21,113270
2024-03-06,ProductA,Nairobi,90,94770
2024-02-17,ProductA,Nairobi,47,168420
2024-01-16,ProductA,Nairobi,76,124580
2024-03-17,ProductA,Nairobi,6,291730
2024-01-26,ProductA,Nairobi,67,265540
2024-01-13,ProductA,Nairobi,53,314380
2024-01-11,ProductA,Nairobi,41,53680
2024-02-15,ProductA,Nairobi,95,316320
2024-01-02,ProductA,Nairobi,42,165430
2024-03-14,ProductA,Nairobi,17,101200
2024-02-14,ProductA,Nairobi,78,296490
2024-03-18,ProductA,Nairobi,54,41160
2024-01-06,ProductA,Nairobi,70,280770
2024-01-12,ProductA,Nairobi,47,161160
2024-01-09,ProductA,Nairobi,84,192670
2024-03-09,ProductA,Nairobi,32,78930
2024-02-15,ProductA,Nairobi,36,202070
2024-01-22,ProductA,Nairobi,27,58550
2024-02-06,ProductA,Nairobi,36,301290
2024-02-07,ProductA,Nairobi,77,315650
2024-03-04,ProductA,Nairobi,74,34380
2024-03-23,ProductA,Nairobi,54,292610
2024-02-12,ProductA,Nairobi,60,216890
2024-01-05,ProductA,Nairobi,82,95120
2024-02-28,ProductA,Nairobi,19,205250
2024-01-07,ProductA,Nairobi,80,229150
2024-03-25,ProductA,Nairobi,76,48340
2024-03-26,ProductA,Nairobi,31,230150
2024-02-15,ProductA,Nairobi,53,316680
2024-02-24,ProductA,Nairobi,61,130980
2024-01-10,ProductA,Nairobi,19,24250
2024-03-19,ProductA,Nairobi,38,71080
2024-01-14,ProductA,Nairobi,34,8530
2024-02-23,ProductA,Nairobi,69,180480
2024-01-22,ProductA,Nairobi,82,99660
2024-03-27,ProductA,Nairobi,13,213960
2024-01-11,ProductA,Nairobi,96,100760
2024-01-10,ProductA,Nairobi,74,286480
2024-02-23,ProductA,Nairobi,73,63520
2024-02-24,ProductA,Nairobi,61,113450
2024-03-12,ProductA,Nairobi,98,225330
2024-03-08,ProductA,Nairobi,13,144000
2024-03-08,ProductA,Nairobi,66,147400
2024-01-24,ProductA,Nairobi,68,159250
2024-01-05,ProductA,Nairobi,1,256150
2024-01-01,ProductA,Nairobi,95,6590
2024-03-05,ProductA,Nairobi,12,940
2024-03-06,ProductA,Nairobi,39,164090
2024-01-06,ProductA,Nairobi,74,256050
2024-03-16,ProductA,Nairobi,38,85460
2024-02-21,ProductA,Nairobi,86,35880
